pits,back_propagation,heuristics,c,policy,iterations,seed,num_games,type_system,sts_size,mm_level,domain, max_alg, min_alg, num_of_games,num_of_draws,num_of_incomplete,max_win,min_win,total_win_games,max_time,min_time
6,2,2,2.5,2,1000,0,100,2,100,6,0,BFB,MINMAX,100,46,0,0.037037,0.962963,2,0.002730,0.002892
6,2,2,2.5,2,1000,0,100,2,100,7,0,BFB,MINMAX,100,39,0,0.098361,0.901639,6,0.003082,0.003132
6,2,2,2.5,2,1000,0,100,2,5000,3,0,BFB,MINMAX,100,21,0,0.987342,0.012658,78,0.006062,0.007456
6,2,2,2.5,2,1000,0,100,2,5000,4,0,BFB,MINMAX,100,49,0,0.901961,0.098039,46,0.002551,0.003109
6,2,2,2.5,2,1000,0,100,2,5000,5,0,BFB,MINMAX,100,52,0,0.854167,0.145833,41,0.002731,0.003078
6,2,2,2.5,2,1000,0,100,2,5000,6,0,BFB,MINMAX,100,46,0,0.574074,0.425926,31,0.002735,0.002994
6,2,2,2.5,2,1000,0,100,2,5000,7,0,BFB,MINMAX,100,57,0,0.534884,0.465116,23,0.003251,0.003469
6,2,2,2.5,2,1000,0,100,2,500,3,0,BFB,MINMAX,100,32,0,0.985294,0.014706,67,0.005426,0.006396
6,2,2,2.5,2,1000,0,100,2,500,4,0,BFB,MINMAX,100,42,0,0.827586,0.172414,48,0.002397,0.002801
6,2,2,2.5,2,1000,0,100,2,500,5,0,BFB,MINMAX,100,54,0,0.717391,0.282609,33,0.002561,0.002682
6,2,2,2.5,2,1000,0,100,2,500,6,0,BFB,MINMAX,100,56,0,0.454545,0.545455,20,0.002574,0.002787
6,2,2,2.5,2,1000,0,100,2,500,7,0,BFB,MINMAX,100,62,0,0.263158,0.736842,10,0.002928,0.003016
6,2,2,2.5,2,1000,0,100,2,700,3,0,BFB,MINMAX,100,29,0,0.971831,0.028169,69,0.006335,0.007111
6,2,2,2.5,2,1000,0,100,2,700,4,0,BFB,MINMAX,100,41,0,0.949153,0.050847,56,0.002525,0.002795
6,2,2,2.5,2,1000,0,100,2,700,5,0,BFB,MINMAX,100,56,0,0.727273,0.272727,32,0.002558,0.002695
6,2,2,2.5,2,1000,0,100,2,700,6,0,BFB,MINMAX,100,50,0,0.380000,0.620000,19,0.002740,0.002943
6,2,2,2.5,2,1000,0,100,2,700,7,0,BFB,MINMAX,100,54,0,0.304348,0.695652,14,0.002832,0.003059
6,2,2,2.5,2,15000,0,100,2,1000,3,0,BFB,MINMAX,100,23,0,1.000000,0.000000,77,0.051514,0.067030
6,2,2,2.5,2,15000,0,100,2,1000,4,0,BFB,MINMAX,100,33,0,0.910448,0.089552,61,0.049646,0.063990
6,2,2,2.5,2,15000,0,100,2,1000,5,0,BFB,MINMAX,100,49,0,0.901961,0.098039,46,0.053945,0.061631
